ESTU_GENERO,ESTU_VALORMATRICULAUNIVERSIDAD,ESTU_PAGOMATRICULACREDITO,FAMI_ESTRATOVIVIENDA,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_NUMPERSONASACARGO,ESTU_HORASSEMANATRABAJA,PUNT_GLOBAL,FELICIDAD
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 5,Si,Si,Si,Si,Si,0,0,175,100%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 6,Si,Si,Si,Si,No,0,0,193,90%
F,No pagó matrícula,No,Estrato 5,Si,Si,Si,Si,No,1,0,178,90%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 6,Si,Si,Si,Si,No,0,0,151,90%
M,Entre 2.5 millones y menos de 4 millones,No,Estrato 5,Si,Si,Si,Si,No,0,0,204,90%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 5,Si,Si,Si,Si,No,0,0,160,90%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 6,Si,Si,Si,Si,No,1,0,227,80%
M,Entre 500 mil y menos de 1 millón,No,Estrato 5,Si,Si,Si,Si,No,1,0,197,80%
F,Entre 4 millones y menos de 5.5 millones,No,Estrato 6,Si,Si,Si,Si,No,0,0,179,80%
M,Menos de 500 mil,No,Estrato 4,Si,Si,Si,Si,No,1,0,173,80%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 5,Si,Si,Si,Si,No,0,0,172,80%
M,Entre 500 mil y menos de 1 millón,No,Estrato 2,Si,Si,Si,Si,Si,0,Menos de 10 horas,131,80%
F,Menos de 500 mil,No,Estrato 4,Si,Si,Si,Si,No,1,Menos de 10 horas,212,80%
M,Menos de 500 mil,No,Estrato 4,Si,Si,Si,Si,No,1,0,146,80%
F,Menos de 500 mil,No,Estrato 4,Si,Si,Si,Si,No,1,0,112,80%
M,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,No,2,0,211,80%
M,Entre 1 millón y menos de 2.5 millones,Si,Estrato 5,Si,Si,Si,Si,No,0,0,201,80%
M,Entre 500 mil y menos de 1 millón,No,Estrato 5,Si,Si,Si,Si,No,0,Entre 11 y 20 horas,185,80%
M,Entre 1 millón y menos de 2.5 millones,Si,Estrato 6,Si,Si,Si,Si,No,0,0,173,80%
F,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,Si,No,1,0,168,80%
M,Entre 1 millón y menos de 2.5 millones,No,Estrato 2,Si,Si,Si,Si,Si,2,0,165,80%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,Si,No,2,0,163,80%
M,Menos de 500 mil,No,Estrato 4,Si,Si,Si,Si,No,1,Menos de 10 horas,156,80%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,Si,Si,2,Entre 11 y 20 horas,152,80%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,Si,3 o 4,0,143,80%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,Si,0,Entre 21 y 30 horas,127,80%
F,Más de 7 millones,No,Estrato 5,Si,Si,Si,Si,Si,0,Menos de 10 horas,108,80%
M,Entre 4 millones y menos de 5.5 millones,Si,Estrato 6,Si,Si,Si,Si,No,0,0,213,80%
F,No pagó matrícula,No,Estrato 3,Si,Si,Si,Si,No,0,Entre 21 y 30 horas,203,80%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 5,Si,Si,Si,Si,No,0,Entre 11 y 20 horas,199,80%
F,Entre 2.5 millones y menos de 4 millones,No,Estrato 4,Si,Si,Si,Si,No,1,0,193,80%
F,Menos de 500 mil,No,Estrato 3,Si,Si,Si,Si,Si,2,Entre 11 y 20 horas,155,80%
M,No pagó matrícula,No,Estrato 2,Si,Si,Si,Si,Si,0,Más de 30 horas,150,80%
M,Entre 500 mil y menos de 1 millón,No,Estrato 1,Si,Si,Si,Si,Si,2,0,148,80%
F,Entre 1 millón y menos de 2.5 millones,No,Estrato 6,Si,Si,Si,No,No,0,0,130,80%
F,Entre 500 mil y menos de 1 millón,No,Estrato 3,Si,Si,Si,Si,Si,2,Menos de 10 horas,130,80%
